antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'almonds'}),frozenset({'eggs'}),0.020397280362618318,0.17970937208372217,0.006532462338354886,0.3202614379084967,1.7821076007059597,1.0,0.002866879892173111,1.2067737122229856,0.44800473264972834,0.0337465564738292,0.17134422976623334,0.17830579313822462
frozenset({'almonds'}),frozenset({'mineral water'}),0.020397280362618318,0.23836821757099053,0.007598986801759766,0.37254901960784315,1.5629139799096374,1.0,0.0027369234384266696,1.2138506532462339,0.36766896828352863,0.03025477707006369,0.1761754237840769,0.2022141071193578
frozenset({'avocado'}),frozenset({'mineral water'}),0.03332888948140248,0.23836821757099053,0.011598453539528063,0.348,1.4599261744966443,1.0,0.0036539055602256183,1.1681469055659655,0.3258955958512262,0.04459251665812403,0.14394328723962888,0.19832885906040268
frozenset({'black tea'}),frozenset({'eggs'}),0.014264764698040262,0.17970937208372217,0.004932675643247567,0.34579439252336447,1.924186749493885,1.0,0.002369163736440705,1.253872816957739,0.48725043680412894,0.02609308885754584,0.20247094723187986,0.18662123186999083
frozenset({'black tea'}),frozenset({'mineral water'}),0.014264764698040262,0.23836821757099053,0.005332622317024397,0.37383177570093457,1.5682953856446926,1.0,0.0019323557818829505,1.216337324177672,0.36760887205842574,0.021563342318059297,0.17785964458825662,0.1981015701770892
frozenset({'black tea'}),frozenset({'spaghetti'}),0.014264764698040262,0.17411011865084655,0.004532728969470737,0.3177570093457944,1.8250347068168482,1.0,0.0020490890953685395,1.2105509219775263,0.4586071377428439,0.024655547498187092,0.1739298348834227,0.1718953500021468
frozenset({'body spray'}),frozenset({'french fries'}),0.011465137981602452,0.1709105452606319,0.004266097853619517,0.37209302325581395,2.17712150346479,1.0,0.002306584869695461,1.3204017242145492,0.546948752528658,0.02395209580838323,0.24265473025275133,0.19852701084787577
frozenset({'body spray'}),frozenset({'mineral water'}),0.011465137981602452,0.23836821757099053,0.0041327822956939075,0.3604651162790698,1.5122197076114667,1.0,0.001399857790813867,1.1909151507071785,0.34264894612054914,0.016820401519262073,0.16030961617526737,0.18890146194266688
frozenset({'burgers'}),frozenset({'eggs'}),0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,1.0,0.013127592408644938,1.224817512916086,0.49942391639485245,0.1209406494960806,0.18355184388312104,0.24525630904091686
frozenset({'cake'}),frozenset({'mineral water'}),0.08105585921877083,0.23836821757099053,0.027463004932675644,0.33881578947368424,1.4213966649005065,1.0,0.0081418642470121,1.1519207057632783,0.32261658443418756,0.09406392694063927,0.13188469050273158,0.22701415871894504
frozenset({'carrots'}),frozenset({'mineral water'}),0.01533128916144514,0.23836821757099053,0.005332622317024397,0.34782608695652173,1.45919657620854,1.0,0.0016781302465452728,1.1678353997244812,0.3195911183319795,0.021470746108427266,0.14371494455817774,0.1850987258048828
frozenset({'carrots'}),frozenset({'spaghetti'}),0.01533128916144514,0.17411011865084655,0.004666044527396347,0.30434782608695654,1.7480191757107666,1.0,0.0019967119524266965,1.187216704439408,0.4345866697613246,0.025252525252525256,0.15769379232901712,0.16557360676476465
frozenset({'cereals'}),frozenset({'mineral water'}),0.025729902679642713,0.23836821757099053,0.010265297960271964,0.3989637305699482,1.6737287153272828,1.0,0.004132106920250477,1.2671977069724039,0.41316223459080603,0.040441176470588244,0.21085715788643122,0.2210143037637213
