antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.025443835392293217,0.04786059068968338,0.011167471160926123,0.43890675241157556,9.170525187566989,1.0,0.009949714169639898,1.6969361392292748,0.9142161565768012,0.1797235023041475,0.4107026323016573,0.33612004287245445
frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.025443835392293217,0.03403419782377485,0.01034934140554692,0.40675241157556274,11.951285400692557,1.0,0.00948338087841005,1.6282675581398702,0.9402505727110803,0.2106577851790175,0.3858503198685613,0.35541947501855065
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),0.03403419782377485,0.025443835392293217,0.01034934140554692,0.3040865384615385,11.951285400692557,1.0,0.00948338087841005,1.4003984956020934,0.9486122488468186,0.2106577851790175,0.2859175419421915,0.35541947501855065
frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'}),frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),0.025239302953448416,0.025443835392293217,0.011167471160926123,0.44246353322528365,17.389812754381484,1.0,0.01052528649116236,1.7479684696597533,0.9668989228349671,0.28260869565217395,0.4279073007566019,0.44068514281842963
frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'}),0.025443835392293217,0.025239302953448416,0.011167471160926123,0.43890675241157556,17.389812754381484,1.0,0.01052528649116236,1.7372525890056016,0.9671018482301221,0.28260869565217395,0.42437846613174607,0.44068514281842963
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.025321115928986337,0.03419782377485069,0.011372003599770924,0.44911147011308566,13.132749998067574,1.0,0.010506076539448884,1.7531716923265905,0.9478552382838766,0.23619371282922685,0.4296052095885003,0.3908236776402749
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.03419782377485069,0.025321115928986337,0.011372003599770924,0.33253588516746413,13.132749998067574,1.0,0.010506076539448884,1.4602715897551388,0.9565669954506535,0.23619371282922685,0.31519588067334653,0.3908236776402749
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.024707518612451934,0.03419782377485069,0.010635686819929642,0.43046357615894043,12.587455242561552,1.0,0.009790743452507166,1.6957689373255527,0.9438766752918251,0.22033898305084748,0.4102970174833315,0.37073418042396783
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.03419782377485069,0.024707518612451934,0.010635686819929642,0.31100478468899523,12.587455242561552,1.0,0.009790743452507166,1.4155286709027606,0.9531515329228163,0.22033898305084748,0.29355016217209867,0.37073418042396783
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03579317679784014,0.03419782377485069,0.014480896670211896,0.4045714285714286,11.830326725905673,1.0,0.013256847917737284,1.6220286069040415,0.9494555097029841,0.26086956521739124,0.38348806195921825,0.4140082023239918
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.03419782377485069,0.03579317679784014,0.014480896670211896,0.423444976076555,11.830326725905673,1.0,0.013256847917737284,1.6723587224004268,0.9478871587975027,0.26086956521739124,0.40204216559193345,0.4140082023239918
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.03419782377485069,0.054569254683792846,0.01873517139818375,0.547846889952153,10.039479064295602,1.0,0.016869021642982457,2.090952653662299,0.9322750148427226,0.26752336448598135,0.5217490944864284,0.4455876128921185
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.054569254683792846,0.03419782377485069,0.01873517139818375,0.343328335832084,10.039479064295604,1.0,0.016869021642982457,1.4707535423337321,0.952362975962127,0.26752336448598135,0.3200764293837834,0.4455876128921185
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.027161907878589544,0.03419782377485069,0.010185715454471079,0.375,10.965610047846889,1.0,0.009256837315450345,1.5452834819602388,0.9341799119782468,0.1990407673860911,0.35286954680220245,0.33642344497607657
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.025321115928986337,0.03579317679784014,0.010103902478933158,0.3990306946688207,11.148233556427417,1.0,0.009197579299768345,1.6044194181777875,0.9339483038073536,0.19807538091419405,0.37672157998701755,0.34065820447726747
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.025321115928986337,0.054569254683792846,0.012394665793994928,0.4894991922455574,8.970237821315514,1.0,0.011012911369988228,1.8519671878187731,0.9116030417831726,0.18363636363636365,0.4600336298734378,0.3583178120148327
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.01803976110611143,0.040947394256729115,0.011372003599770924,0.6303854875283447,15.395008619498416,1.0,0.010633322389461772,2.59473741799253,0.952221734380877,0.23883161512027493,0.6146045480110008,0.4540538826253112
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.01803976110611143,0.04421991327824593,0.012108320379612207,0.671201814058957,15.17872298472272,1.0,0.011310603707939685,2.906889780995128,0.9512791535547211,0.24143556280587275,0.6559897088159753,0.47251117529959874
frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.023848482369303772,0.040947394256729115,0.013744579890370612,0.5763293310463121,14.074871954803344,1.0,0.012768046680370078,2.263674773879866,0.951646726452388,0.26923076923076916,0.5582404276714927,0.4559968333553239
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE IVORY'}),0.040947394256729115,0.023848482369303772,0.013744579890370612,0.3356643356643357,14.074871954803344,1.0,0.012768046680370078,1.4693649160125215,0.9686135992038104,0.26923076923076916,0.3194338662217806,0.4559968333553239
frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.018898797349259592,0.040947394256729115,0.011331097112001963,0.5995670995670995,14.64237494107624,1.0,0.010557240605963804,2.3950394802886006,0.9496523554812716,0.2335581787521079,0.5824703483052811,0.4381451881451881
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.040947394256729115,0.03268428372739916,0.017139818375194307,0.4185814185814186,12.806810211065532,1.0,0.015801482123409698,1.663716549809061,0.9612783893243264,0.30340333091962346,0.3989360747089,0.4714934627325116
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.03268428372739916,0.040947394256729115,0.017139818375194307,0.5244055068836045,12.806810211065532,1.0,0.015801482123409698,2.016534294707562,0.9530668515121932,0.30340333091962346,0.5040996810098783,0.4714934627325116
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04421991327824593,0.040947394256729115,0.02642559109874826,0.5975948196114708,14.594208751470545,1.0,0.024614900875745555,2.383300843237875,0.9745753054733105,0.44986072423398327,0.5804138605341017,0.6214747324830581
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.040947394256729115,0.04421991327824593,0.02642559109874826,0.6453546453546454,14.594208751470546,1.0,0.024614900875745555,2.695030610728101,0.9712498192528856,0.44986072423398327,0.6289467006351235,0.6214747324830581
frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.023848482369303772,0.03268428372739916,0.011412910087539883,0.4785591766723842,14.641874384146563,1.0,0.010633439523313682,1.8550824427201522,0.9544652817299228,0.25294650951949227,0.46094039975189677,0.413872829888132
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE IVORY'}),0.03268428372739916,0.023848482369303772,0.011412910087539883,0.34918648310387984,14.641874384146563,1.0,0.010633439523313682,1.4998943511287042,0.9631837027073686,0.25294650951949227,0.3332863749720256,0.413872829888132
frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.023848482369303772,0.04421991327824593,0.015421745888897978,0.6466552315608919,14.623620527971843,1.0,0.014367168066709589,2.7049504396057404,0.9543779472366074,0.2929292929292928,0.6303074594794591,0.4977031939488086
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE IVORY'}),0.04421991327824593,0.023848482369303772,0.015421745888897978,0.3487511563367252,14.623620527971843,1.0,0.014367168066709589,1.4988917479528159,0.9747194930411796,0.2929292929292928,0.332840412681037,0.4977031939488086
